"ID";"Gender";"Age";"Agegroups";"Income";"Region";"c_0004";"tcc";"tht";"D4_1A";"D4_1B";"CT";"v_762";"v_784";"AS_1";"AS_3";"AP_1";"AP_3";"EPS1";"EPS3";"EPP1";"EPP3";"FPS1";"FPS3";"FPP1";"FPP3";"CPS1";"CPS3";"CPP1";"CPP3";"int1";"int2";"MC1";"MC2";"UT";"D1";"AC1";"CR1";"K1_1";"K1_2";"K1_3";"K1_4";"K1_5";"K1_6";"K1_7";"K1_8";"K1_9";"SN_1";"SN_2";"SN_3";"SNN_2";"WB5";"DN_1";"DN_2";"DN_7";"SO1_3";"CCD_1";"CCD_2";"CCD_3";"SD4";"SD9_1";"SD9_2";"SD9_2a";"SD9_3";"PO1";"PO2";"PO3";"PO4";"PO5";"income_detailed";"SDS_1";"SDS_2";"SDS_3";"SDS_4";"SDS_5";"SDS_6";"SDS_7";"SD5"
7956;1;54;3;3;4;1;191;209;6;6;1;1;1;1;2;1;3;4;1;1;3;1;1;1;3;1;3;1;2;6;5;2;3;7;2;8;5;4;3;3;3;2;3;4;4;3;3;2;2;4;5;1;1;4;4;1;1;1;4;0;1;0;2;4;4;4;1;4;6;2;4;5;2;6;5;4;1
7958;1;68;4;3;8;1;91;111;6;5;1;1;1;2;5;3;4;4;3;3;3;1;5;1;3;4;3;5;4;6;6;3;4;3;2;8;1;1;1;1;1;1;1;1;1;1;2;1;1;4;4;2;1;1;4;3;3;4;4;-99;-99;-99;2;3;2;3;3;3;6;1;1;4;2;5;5;1;7
7961;1;65;4;3;2;1;56;70;6;6;1;1;1;2;5;2;5;1;4;1;5;2;4;2;4;1;3;1;3;6;5;5;5;3;2;8;1;3;3;2;2;1;2;4;4;1;4;4;4;4;4;1;1;1;4;1;1;1;2;0;0;0;2;1;3;1;1;3;1;4;5;6;2;5;6;3;2
7962;1;48;3;4;8;2;91;0;6;6;1;1;-77;1;5;1;5;1;5;1;5;1;4;1;4;5;1;5;1;6;6;3;3;3;2;8;1;4;4;4;3;3;3;3;3;3;3;3;3;3;4;2;1;2;4;3;3;4;5;-99;-99;-99;4;4;2;4;3;4;7;3;2;6;2;5;5;3;3
7963;2;72;4;2;7;2;92;0;5;6;1;1;-77;2;4;2;4;3;3;3;3;1;3;1;3;5;3;5;3;4;6;3;3;3;2;8;1;3;3;3;4;3;3;3;4;3;3;3;2;4;3;3;4;1;4;2;2;2;3;0;0;0;2;NA;3;3;3;4;1;1;2;5;2;5;5;1;7
7966;1;71;4;2;7;2;50;0;6;5;1;1;-77;3;1;2;2;1;2;1;1;1;1;1;1;4;1;3;2;4;4;3;3;1;2;8;1;2;2;3;4;3;2;2;3;3;3;3;3;5;3;1;1;1;4;1;2;3;3;0;0;0;1;99;99;99;99;99;1;1;4;5;2;7;6;1;7
7967;2;63;4;3;8;2;138;0;6;6;1;1;-77;1;4;1;4;1;1;1;1;1;3;3;3;3;3;4;3;6;6;3;3;1;1;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;3;3;3;3;-99;-99;-99;1;1;1;1;1;1;7;6;1;4;2;7;4;1;1
7969;1;72;4;3;4;1;91;113;6;3;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;5;3;5;4;6;5;3;3;7;2;8;1;3;3;4;3;4;3;2;3;4;2;2;2;4;3;1;1;1;4;2;2;3;5;-99;-99;-99;2;5;4;3;4;3;5;1;2;6;2;5;5;1;7
7971;1;67;4;2;7;2;64;0;6;5;1;1;-77;1;1;1;1;1;1;1;1;1;1;1;1;4;3;4;3;6;6;2;3;2;2;8;1;1;1;1;1;1;1;1;1;1;3;3;2;4;4;1;1;1;4;2;4;4;3;-99;-99;-99;1;1;1;1;1;1;1;1;4;4;2;5;5;3;7
7972;2;71;4;2;6;1;60;70;5;5;1;1;1;1;5;2;5;3;5;3;4;2;5;2;5;4;2;4;2;5;5;2;4;3;2;8;1;1;1;1;1;1;1;3;1;1;3;4;4;4;4;3;1;1;4;1;1;1;3;-99;-99;-99;2;3;3;3;3;4;4;1;2;5;2;5;6;1;7
