"ID";"Gender";"Age";"Agegroups";"Income";"Region";"c_0004";"tcc";"tht";"D4_1A";"D4_1B";"CT";"v_762";"v_784";"AS_1";"AS_3";"AP_1";"AP_3";"EPS1";"EPS3";"EPP1";"EPP3";"FPS1";"FPS3";"FPP1";"FPP3";"CPS1";"CPS3";"CPP1";"CPP3";"int1";"int2";"MC1";"MC2";"UT";"D1";"AC1";"CR1";"K1_1";"K1_2";"K1_3";"K1_4";"K1_5";"K1_6";"K1_7";"K1_8";"K1_9";"SN_1";"SN_2";"SN_3";"SNN_2";"WB5";"DN_1";"DN_2";"DN_7";"SO1_3";"CCD_1";"CCD_2";"CCD_3";"SD4";"SD9_1";"SD9_2";"SD9_2a";"SD9_3";"PO1";"PO2";"PO3";"PO4";"PO5";"income_detailed";"SDS_1";"SDS_2";"SDS_3";"SDS_4";"SDS_5";"SDS_6";"SDS_7";"SD5"
6560;2;48;3;3;4;2;69;0;5;6;1;1;-77;4;4;5;4;4;4;4;4;4;4;5;5;2;2;1;2;3;4;5;5;1;2;8;1;3;3;2;3;3;4;2;3;2;4;4;4;2;4;2;1;1;4;2;4;4;5;-99;2;-99;4;3;3;4;3;3;7;1;5;5;2;6;5;1;5
6641;1;62;4;4;16;2;97;0;5;5;1;1;-77;2;5;3;5;3;3;3;3;2;4;2;4;2;2;2;2;4;4;3;4;4;3;8;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;1;1;1;4;1;1;1;5;-99;-99;-99;1;2;4;2;4;4;6;1;5;3;2;4;5;3;1
6665;1;47;3;5;5;1;132;169;4;4;1;1;1;5;5;5;5;4;4;4;4;5;5;4;4;3;3;2;3;4;4;4;5;4;3;8;1;4;4;3;3;4;3;4;4;2;5;4;4;4;4;1;1;1;4;1;1;1;3;-99;-99;1;2;2;4;1;4;4;12;1;4;5;2;5;5;2;3
6681;1;60;3;5;7;1;54;61;5;5;1;1;1;1;3;1;3;1;3;1;3;1;3;1;3;2;3;2;3;5;5;2;2;5;2;8;1;4;4;4;4;4;4;4;4;4;3;3;3;4;4;1;1;1;4;4;2;4;5;-99;1;-99;2;3;3;4;3;4;12;6;5;5;6;5;6;5;3
6699;2;66;4;3;4;1;104;119;4;3;1;1;1;2;5;2;5;2;3;2;4;1;4;2;5;5;3;4;2;3;4;4;4;6;3;8;1;3;2;4;3;4;4;4;4;3;3;4;3;5;1;1;1;1;4;1;1;1;3;0;0;0;3;4;3;4;3;4;5;2;5;4;2;5;6;1;5
6778;1;42;2;4;16;1;50;64;6;6;1;1;1;1;4;1;4;3;3;4;3;1;4;1;3;2;3;1;3;6;6;2;2;3;2;8;1;2;2;2;2;2;3;3;4;3;3;4;3;4;5;1;1;1;4;1;1;1;3;2;-99;-99;2;2;3;2;4;3;7;5;3;5;2;4;4;5;1
6828;1;75;4;4;4;2;72;0;5;4;1;1;-77;4;2;3;2;2;1;4;1;4;1;4;3;4;1;4;1;3;5;3;4;3;2;8;1;2;3;4;2;2;3;3;4;2;3;4;3;3;4;1;1;1;4;2;2;2;3;-99;-99;-99;2;4;4;4;2;4;2;2;4;4;2;5;5;2;7
6849;1;68;4;5;7;2;111;0;6;6;1;1;-77;2;4;2;4;3;4;3;4;2;4;2;4;2;4;2;4;5;6;4;4;4;2;8;1;4;4;4;4;4;4;5;5;5;5;5;3;4;5;1;1;1;4;3;3;3;3;-99;-99;-99;5;5;4;2;5;5;9;NA;3;4;2;6;6;2;7
6910;1;44;2;2;20;1;67;71;3;5;1;1;1;4;4;4;4;4;3;4;3;4;5;4;5;4;3;4;3;2;3;5;5;3;2;8;1;4;4;4;4;3;4;4;4;3;3;3;3;4;5;1;1;1;4;1;1;1;4;1;-99;-99;3;4;4;1;4;5;4;3;4;2;2;2;6;1;1
6940;1;63;4;4;10;1;58;72;3;3;1;1;1;1;5;1;5;1;4;1;4;1;5;1;5;2;3;2;3;2;3;4;4;3;3;8;1;3;3;3;2;2;3;3;3;3;3;3;3;3;4;1;1;1;4;2;2;2;3;-99;-99;-99;3;4;4;4;3;4;7;3;5;3;2;3;5;3;7
7010;1;39;2;1;9;1;48;59;6;4;3;1;1;1;1;2;5;4;1;4;1;1;1;1;5;1;3;1;3;6;5;4;4;1;1;8;1;2;2;2;2;1;1;2;2;1;1;1;2;4;3;2;3;1;4;1;1;2;3;0;0;1;2;5;2;4;5;2;99;7;6;6;2;7;2;7;3
7042;2;54;3;5;7;1;77;92;5;5;1;1;1;1;5;1;5;2;4;2;3;1;4;1;4;2;3;2;4;3;3;4;4;1;3;8;1;3;2;3;4;3;3;3;4;4;5;5;4;2;NA;4;1;1;4;4;4;4;3;-99;-99;-99;1;2;4;3;2;4;2;2;3;5;2;6;5;2;1
7053;1;53;3;4;14;1;65;152;6;6;1;1;1;2;4;2;4;4;4;4;4;1;4;1;5;4;3;4;3;6;6;3;3;4;2;8;1;5;5;5;5;5;5;4;5;4;3;3;3;3;5;1;1;1;4;1;1;1;3;-99;-99;1;2;4;5;2;4;4;6;1;3;4;2;6;6;1;1
7070;2;65;4;3;14;1;95;110;2;5;1;1;1;4;5;5;5;2;5;2;5;3;5;3;5;3;3;4;3;2;4;4;4;6;3;8;1;4;4;3;4;2;4;3;3;4;5;5;5;4;3;1;1;1;4;1;1;2;3;0;0;0;2;5;5;1;3;5;6;2;2;5;2;6;6;2;7
7112;1;32;2;4;13;2;96;0;7;7;1;1;-77;4;5;2;5;5;5;4;5;3;5;1;5;4;2;1;4;5;6;4;4;5;2;8;1;3;3;4;5;2;4;3;4;5;4;5;3;5;2;1;1;1;4;1;1;1;5;-99;-99;-99;2;4;5;1;3;5;7;2;5;7;2;7;6;2;1
7141;2;53;3;5;9;2;63;0;5;5;1;1;-77;1;5;1;5;3;4;2;4;2;5;2;5;5;4;4;4;5;5;4;4;5;2;8;1;2;2;2;2;2;2;2;2;2;3;3;2;3;3;1;1;1;4;1;1;1;5;0;0;1;1;3;5;2;3;4;13;3;2;3;2;3;6;2;1
7198;1;71;4;3;4;1;125;136;4;6;1;1;1;2;3;3;4;2;3;2;3;3;3;2;3;4;4;4;4;3;6;4;3;3;2;8;1;4;2;3;2;2;2;3;2;1;3;3;3;4;2;1;1;1;4;1;2;4;4;0;0;0;1;5;4;4;3;5;1;1;6;7;2;6;7;1;7
7248;2;41;2;1;13;2;107;0;4;4;1;1;-77;1;4;1;4;1;4;1;4;1;4;1;4;1;2;1;2;4;4;2;2;5;3;8;1;2;2;3;3;1;1;4;4;1;3;3;NA;2;3;2;2;2;4;3;2;1;3;1;0;1;2;3;3;3;3;3;3;4;1;2;2;3;7;NA;5
7276;2;37;2;5;7;1;89;560;6;6;1;1;1;4;5;2;4;2;2;5;5;3;5;1;5;5;3;2;2;5;6;4;4;4;2;8;1;4;5;2;1;1;4;2;4;4;2;4;2;5;4;1;1;1;4;1;1;1;5;-99;-99;-99;2;4;3;1;5;5;13;1;3;6;2;5;7;1;1
7290;2;38;2;4;20;2;74;0;5;6;1;1;-77;2;5;2;5;4;5;4;5;1;5;2;5;4;3;4;3;5;6;4;4;4;2;8;1;2;2;3;2;1;2;1;1;3;4;4;3;4;4;1;1;1;4;1;2;2;5;-99;-99;-99;4;4;5;3;3;5;5;3;5;3;2;5;5;2;1
7294;2;50;3;3;7;1;160;204;4;4;1;1;1;2;5;2;4;3;3;3;3;2;5;1;3;4;4;3;3;4;4;4;4;6;3;8;1;4;4;4;3;4;4;4;4;4;2;2;2;4;3;1;1;1;4;1;1;1;3;0;1;0;4;3;4;1;2;4;4;1;4;4;2;4;4;2;1
7295;2;33;2;5;5;1;59;72;4;4;1;1;1;4;5;2;4;3;5;5;4;3;5;2;5;4;3;5;3;4;4;4;4;4;3;8;1;4;4;3;3;2;3;3;3;3;3;4;2;5;4;1;1;1;4;2;2;2;5;1;-99;-99;2;5;4;3;4;4;9;5;3;6;2;5;6;2;1
7296;2;54;3;3;2;2;80;0;5;6;1;1;-77;2;5;2;5;2;3;4;3;2;4;2;5;4;3;4;3;5;5;4;4;5;2;8;1;4;4;3;3;2;3;3;4;4;3;4;2;2;4;1;1;1;4;1;2;1;5;-99;-99;-99;3;3;4;3;3;5;5;3;3;7;2;7;5;3;1
7309;2;51;3;3;10;1;57;66;5;5;1;1;1;2;5;2;5;2;5;5;4;1;5;2;5;2;2;2;2;5;5;4;4;6;2;8;2;4;3;4;4;5;5;3;3;3;3;4;4;5;3;1;1;1;4;1;1;1;3;-99;-99;1;2;3;5;1;3;5;6;3;4;6;2;7;5;1;1
7310;2;53;3;2;16;2;174;0;6;4;1;1;-77;1;5;1;5;1;5;4;4;1;5;1;5;2;3;2;2;4;5;1;1;1;2;8;1;3;2;1;2;1;2;3;3;2;1;1;2;2;4;4;4;1;4;1;1;1;3;-99;-99;-99;3;4;5;1;4;4;4;2;5;5;2;5;5;1;5
7327;2;53;3;4;18;1;63;71;5;6;1;1;1;1;4;1;4;3;3;3;3;1;3;1;4;4;3;1;3;5;6;2;3;1;2;8;5;3;3;4;4;4;2;4;5;4;1;3;1;4;4;1;1;1;4;2;2;2;5;-99;-99;-99;3;3;5;2;4;5;6;1;5;5;2;7;4;3;1
7331;1;59;3;4;7;2;148;0;5;6;1;1;-77;4;5;3;3;5;3;5;4;4;5;4;5;4;3;4;3;5;6;2;4;6;2;8;1;3;3;2;2;3;2;1;1;NA;4;4;2;5;2;1;1;1;4;1;2;2;5;-99;-99;-99;2;4;4;1;4;4;7;5;4;5;2;5;5;4;7
7336;1;49;3;3;1;1;66;80;5;5;1;1;1;3;2;2;2;4;4;4;4;3;3;4;4;3;2;2;2;5;5;4;4;3;2;8;1;3;3;3;2;2;3;3;3;3;2;4;1;4;3;1;1;1;4;1;2;1;5;1;1;1;2;3;2;2;4;2;6;3;2;6;2;6;6;1;3
7347;1;39;2;2;4;2;93;0;5;5;1;1;-77;3;4;3;4;3;4;3;4;3;3;3;3;4;3;3;4;5;6;3;3;3;2;8;1;3;3;2;3;2;2;2;3;2;4;4;3;4;3;2;2;1;4;3;1;1;4;-99;-99;2;2;99;99;99;99;99;1;4;4;4;4;4;4;4;99
