"ID";"Gender";"Age";"Agegroups";"Income";"Region";"c_0004";"tcc";"tht";"D4_1A";"D4_1B";"CT";"v_762";"v_784";"AS_1";"AS_3";"AP_1";"AP_3";"EPS1";"EPS3";"EPP1";"EPP3";"FPS1";"FPS3";"FPP1";"FPP3";"CPS1";"CPS3";"CPP1";"CPP3";"int1";"int2";"MC1";"MC2";"UT";"D1";"AC1";"CR1";"K1_1";"K1_2";"K1_3";"K1_4";"K1_5";"K1_6";"K1_7";"K1_8";"K1_9";"SN_1";"SN_2";"SN_3";"SNN_2";"WB5";"DN_1";"DN_2";"DN_7";"SO1_3";"CCD_1";"CCD_2";"CCD_3";"SD4";"SD9_1";"SD9_2";"SD9_2a";"SD9_3";"PO1";"PO2";"PO3";"PO4";"PO5";"income_detailed";"SDS_1";"SDS_2";"SDS_3";"SDS_4";"SDS_5";"SDS_6";"SDS_7";"SD5"
3382;2;68;4;2;1;2;162;0;6;4;1;1;-77;2;5;4;5;3;4;3;4;3;4;3;4;4;3;4;2;6;5;4;4;2;2;8;2;3;2;1;1;1;1;1;2;1;3;4;1;4;2;1;1;1;4;1;1;2;3;-99;-99;-99;1;4;4;2;3;4;3;5;5;6;2;6;6;5;1
3433;2;55;3;3;3;2;128;0;6;6;1;1;-77;2;4;2;4;3;4;4;4;2;4;2;4;4;2;4;2;6;6;2;2;2;2;8;4;3;3;3;3;3;3;3;3;3;3;3;2;4;4;4;1;1;4;2;3;3;5;2;-99;-99;3;4;4;4;4;4;5;5;3;5;2;5;5;5;1
3439;2;55;3;2;3;1;175;199;7;6;1;1;1;1;3;1;3;2;2;2;2;1;1;1;1;3;3;3;3;7;6;3;3;6;2;8;5;3;3;1;1;1;NA;2;3;2;2;3;2;2;4;NA;NA;1;4;2;2;2;3;-99;-99;-99;1;3;3;3;3;3;4;4;4;4;4;4;4;4;1
3463;2;54;3;2;3;1;150;174;6;6;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;3;3;3;3;6;6;1;1;4;2;8;1;5;5;5;5;5;5;5;5;5;3;1;1;5;5;1;1;4;4;5;5;5;5;0;0;0;1;4;4;4;1;4;3;2;2;6;2;5;6;2;1
3470;1;74;4;2;6;1;130;155;4;4;1;1;1;1;3;2;3;2;2;2;2;2;2;2;2;4;3;4;3;5;5;2;2;2;2;8;2;2;3;3;3;1;2;2;3;1;3;3;3;4;3;2;1;1;4;4;2;2;5;0;0;0;2;4;4;3;4;4;5;4;3;4;2;5;5;4;7
3484;1;63;4;2;3;1;116;136;4;4;1;1;1;2;4;2;4;4;4;4;4;1;4;1;4;5;3;5;3;4;4;3;4;4;2;8;2;3;3;3;3;3;3;3;3;3;3;3;3;4;2;3;3;3;4;3;4;4;4;0;0;0;2;4;4;3;3;4;4;4;3;6;2;6;6;6;3
3486;1;45;2;3;4;1;65;78;7;4;1;1;1;2;4;2;4;2;3;2;3;2;3;1;3;4;3;4;3;4;4;3;3;2;2;8;2;3;2;2;3;3;2;1;2;2;4;2;2;5;2;1;1;1;4;2;2;2;5;-99;-99;-99;2;4;4;3;4;3;8;4;5;4;2;5;4;5;1
3521;2;44;2;2;5;1;101;118;5;4;1;1;1;2;5;2;5;2;5;2;5;2;5;2;5;5;4;5;4;6;5;3;3;1;3;8;1;1;1;1;1;1;1;1;1;1;2;2;2;2;4;1;1;1;4;1;1;1;5;1;1;-99;3;3;3;3;3;5;99;4;2;4;2;6;6;6;1
3543;1;42;2;2;2;2;318;0;4;6;1;1;-77;1;2;2;2;1;1;3;3;1;1;3;3;4;4;4;4;4;7;1;1;2;1;8;1;2;2;1;2;1;1;1;1;1;1;1;1;5;4;1;2;1;4;3;3;3;3;-99;1;-99;2;3;4;4;2;3;4;4;3;5;2;5;6;5;1
3568;2;57;3;2;2;1;110;128;6;2;1;1;1;1;4;2;4;2;4;2;4;1;4;2;4;4;4;4;4;6;6;2;3;7;3;8;1;3;3;3;3;3;3;2;2;1;1;2;2;5;4;3;3;4;4;4;5;5;4;0;0;0;4;5;4;3;3;2;2;4;4;6;2;6;6;2;1
3622;2;58;3;3;5;2;95;0;5;5;1;1;-77;2;4;1;2;3;4;2;3;2;3;2;3;4;3;4;3;6;5;3;3;4;2;8;4;2;2;3;3;1;2;1;3;1;2;3;3;4;3;1;1;1;4;4;1;1;5;0;0;0;1;4;3;3;2;4;99;3;4;5;3;5;6;2;1
3623;2;44;2;3;1;1;43;46;5;5;1;1;1;2;4;4;4;2;2;2;2;2;4;4;4;2;2;3;3;5;3;3;2;1;3;8;2;5;3;3;2;2;1;3;2;2;4;3;3;3;4;2;1;1;4;4;4;4;5;-99;2;-99;2;4;4;4;4;4;4;5;5;4;2;5;6;6;3
3633;2;55;3;2;3;1;55;65;1;1;1;1;1;5;3;5;2;3;3;4;2;3;3;4;2;3;3;4;3;1;1;3;3;1;5;8;1;3;3;2;3;1;1;2;2;1;2;2;2;4;2;1;1;1;4;2;3;3;5;0;0;0;1;3;4;3;4;4;4;3;3;4;2;5;5;5;1
3711;2;32;2;2;1;1;55;67;3;4;3;1;1;1;5;1;4;4;3;1;3;1;4;1;4;4;3;5;3;3;4;3;3;2;3;8;1;1;1;2;3;2;1;2;1;1;3;3;1;4;4;1;1;1;4;1;1;2;5;0;0;0;1;2;4;2;4;4;99;4;5;5;2;6;6;5;1
3719;2;69;4;3;3;1;156;175;3;2;1;1;1;2;3;2;2;2;2;2;3;3;3;3;3;2;2;2;2;2;2;4;4;5;2;8;1;2;1;1;1;1;2;2;2;1;3;3;3;3;3;1;1;1;2;2;2;2;4;0;0;0;1;5;4;4;3;5;4;2;2;5;2;2;5;5;7
3728;2;49;3;2;6;2;253;0;6;5;1;1;-77;1;5;1;5;3;5;3;5;2;5;3;5;5;3;5;3;6;4;1;2;6;2;8;2;2;2;3;3;1;2;2;3;1;3;2;2;5;4;3;2;1;4;1;1;1;3;-99;-99;-99;1;4;4;3;3;5;1;3;3;5;2;6;NA;7;6
3764;1;31;2;3;4;1;50;63;4;4;1;1;1;1;5;3;3;3;3;3;3;1;5;1;4;5;4;4;3;4;4;4;3;4;2;8;2;1;1;2;2;2;1;1;1;1;3;3;3;3;3;1;1;1;3;3;3;3;5;1;-99;-99;2;3;3;3;3;3;5;4;4;4;4;4;4;4;1
3824;2;35;2;2;3;2;56;0;1;1;1;1;-77;1;4;1;4;1;4;1;4;1;2;1;1;2;3;2;2;1;1;1;1;1;2;8;4;1;1;1;1;1;1;1;1;1;2;2;2;3;4;1;1;1;3;2;3;3;4;1;-99;1;2;1;4;3;3;2;4;3;2;4;1;3;5;5;1
3827;1;35;2;3;2;2;109;0;5;5;1;1;-77;1;5;1;5;1;5;1;5;1;5;1;4;5;1;5;2;5;6;3;3;6;2;8;3;1;2;1;3;2;2;2;3;1;2;1;2;5;4;2;1;1;4;2;2;2;5;1;-99;-99;2;4;4;3;3;4;5;5;2;5;2;6;5;6;1
3841;2;32;2;3;3;1;105;127;3;4;1;1;1;1;5;1;5;4;5;4;5;1;4;1;5;4;2;4;2;2;4;2;4;4;2;8;2;2;1;2;2;1;2;2;2;1;3;3;3;4;4;1;2;1;4;1;1;2;5;1;0;0;2;3;4;3;3;4;6;5;5;3;2;3;5;5;5
